Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,field
63,Psychological Services,1236,2.095,0.00282,clinical
64,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,3207,2.056,0.00357,clinical
65,Psychology Research and Behavior Management,682,2.03,0.00134,clinical
66,Eating Disorders,1149,2.013,0.00111,clinical
67,Journal of Psychosomatic Obstetrics & Gynecology,1397,2,0.00107,clinical
68,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,3784,1.96,0.00474,clinical
69,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,5334,1.958,0.0037200000000000002,clinical
70,JOURNAL OF TRAUMATIC STRESS,7702,1.926,0.00602,clinical
71,JOURNAL OF PSYCHOACTIVE DRUGS,1824,1.859,0.00202,clinical
71,Journal of Trauma & Dissociation,971,1.859,0.00126,clinical
73,JOURNAL OF FAMILY PSYCHOLOGY,6727,1.836,0.00599,clinical
74,JOURNAL OF SEX & MARITAL THERAPY,2280,1.775,0.00183,clinical
75,Child and Adolescent Mental Health,1016,1.77,0.00137,clinical
76,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,1927,1.657,0.00227,clinical
77,International Journal of Mental Health and Addiction,1476,1.648,0.00243,clinical
78,Clinical Child Psychology and Psychiatry,1233,1.647,0.00128,clinical
79,BEHAVIORAL DISORDERS,808,1.625,8.9e-4,clinical
80,AMERICAN BEHAVIORAL SCIENTIST,5627,1.601,0.00615,clinical
81,JOURNAL OF APPLIED BEHAVIOR ANALYSIS,5076,1.54,0.00212,clinical
82,CRIMINAL JUSTICE AND BEHAVIOR,3807,1.523,0.00367,clinical
82,Journal of Contextual Behavioral Science,662,1.523,0.00154,clinical
84,REHABILITATION PSYCHOLOGY,1971,1.484,0.00217,clinical
85,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,3227,1.472,0.00182,clinical
86,JOURNAL OF MARITAL AND FAMILY THERAPY,2028,1.421,0.00111,clinical
87,JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,1053,1.412,0.00106,clinical
88,JOURNAL OF FAMILY VIOLENCE,2743,1.357,0.00272,clinical
89,Journal of Experimental Psychopathology,405,1.34,8.5e-4,clinical
90,Clinical Psychologist,358,1.333,6.6e-4,clinical
91,ARTS IN PSYCHOTHERAPY,1088,1.322,7e-4,clinical
92,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,1352,1.246,9.8e-4,clinical
93,Journal of Dual Diagnosis,419,1.231,9.8e-4,clinical
94,Perspectives on Behavior Science,109,1.219,1e-4,clinical
95,International Journal of Sexual Health,439,1.191,8.9e-4,clinical
96,Sexual and Relationship Therapy,601,1.125,7e-4,clinical
97,Psychosis-Psychological Social and Integrative Approaches,390,1.085,8.2e-4,clinical
98,PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,855,1.051,7.4e-4,clinical
99,JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,411,1.036,2.7e-4,clinical
100,BEHAVIOUR CHANGE,439,1.032,5.5e-4,clinical
101,Journal of Aggression Maltreatment & Trauma,1184,1.03,0.00136,clinical
102,Behavioral Psychology-Psicologia Conductual,434,1.017,3.4e-4,clinical
103,Journal of Latina-o Psychology,260,0.978,9.4e-4,clinical
104,PSYCHOANALYTIC PSYCHOLOGY,742,0.958,9.5e-4,clinical
105,Journal of Child Sexual Abuse,1078,0.929,0.00144,clinical
106,ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,457,0.9,2.5e-4,clinical
107,Journal of Rational-Emotive and Cognitive-Behavior Therapy,505,0.88,4e-4,clinical
108,ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,303,0.85,2.6e-4,clinical
109,Clinical Case Studies,313,0.817,2.6e-4,clinical
110,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,373,0.766,3.3e-4,clinical
111,VERHALTENSTHERAPIE,276,0.744,3.4e-4,clinical
112,BEHAVIORAL INTERVENTIONS,520,0.731,5.6e-4,clinical
