Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
HUMAN RESOURCE DEVELOPMENT QUARTERLY,1044-8004,1532-1096,"WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104",English,"Management | Psychology, Applied | Industrial Relations & Labor"
HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,"WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104",English,"Management | Psychology, Applied"
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,0933-1719,1613-3722,DE GRUYTER MOUTON,"GENTHINER STRASSE 13, BERLIN, GERMANY, 10785",English,"Psychology, Multidisciplinary"
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,1754-9426,1754-9434,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Applied"
INFANCIA Y APRENDIZAJE,NA,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",NA,"Psychology, Educational | Psychology, Developmental"
INFANCY,1525-0008,1532-7078,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
INFANT AND CHILD DEVELOPMENT,1522-7227,1522-7219,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
INFANT BEHAVIOR & DEVELOPMENT,0163-6383,1879-0453,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Developmental"
INFANT MENTAL HEALTH JOURNAL,0163-9641,1097-0355,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
INFANTS & YOUNG CHILDREN,0896-3746,1550-5081,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,"Psychology, Developmental | Rehabilitation | Education, Special"
INSTRUCTIONAL SCIENCE,0020-4277,1573-1952,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Educational | Education & Educational Research"
INTEGRATIVE PSYCHOLOGICAL AND BEHAVIORAL SCIENCE,1932-4502,1936-3567,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Biological"
INTELLIGENCE,0160-2896,1873-7935,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL FOR EDUCATIONAL AND VOCATIONAL GUIDANCE,0251-2513,1573-1782,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Education & Educational Research | Psychology, Applied"
INTERNATIONAL JOURNAL FOR THE PSYCHOLOGY OF RELIGION,1050-8619,1532-7582,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL OF AEROSPACE PSYCHOLOGY,2472-1832,2472-1840,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Applied"
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,0091-4150,1541-3535,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Developmental | Gerontology"
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254,1464-0651,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Developmental"
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,1070-5503,1532-7558,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Clinical"
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,0020-7144,1744-5183,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Psychiatry"
INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,1697-2600,1576-7329,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Clinical"
INTERNATIONAL JOURNAL OF COGNITIVE THERAPY,1937-1209,1937-1217,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,"Psychology, Clinical | Psychiatry"
INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,1098-108X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Clinical"
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,0020-7284,1943-2836,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,1095-9300,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",English,"Psychology, Multidisciplinary | Ergonomics"
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,0147-1767,1873-7552,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Sociology | Psychology, Social | Social Sciences, Interdisciplinary"
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,1557-1874,1557-1882,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Substance Abuse | Psychiatry | Psychology, Clinical"
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,0306-624X,1552-6933,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied | Criminology & Penology"
